source_fold,cell,group,n,pred_range_pp,pred_sd_pp,y_range_pp,y_sd_pp,constant_within_1e_8_pp,mae,rmse,p95_ae
XJTU__3C,CS2_6,B1,55,1.226265285496242,0.1457886180293451,35.4189932346344,11.647907691817144,False,14.838870243195391,18.882435427959866,33.869638442993164
XJTU__3C,CS2_6,B12,55,1.1623973018766498,0.13819546084031686,35.4189932346344,11.647907691817144,False,14.61283233386169,18.704349014985855,33.64243769668974
XJTU__3C,CS2_6,B123,55,1.1623973018766498,0.13819546084031686,35.4189932346344,11.647907691817144,False,14.61283233386169,18.704349014985855,33.64243769668974
XJTU__3C,CS2_6,B1234,55,1.1623973018766498,0.13819546084031686,35.4189932346344,11.647907691817144,False,14.61283233386169,18.704349014985855,33.64243769668974
XJTU__3C,CX2_3,B,1750,0.0,0.0,60.35713851451874,13.632691845866793,True,23.99863963978631,27.59977894825298,49.463345259428024
XJTU__3C,CX2_3,B1,1750,0.9524835808181087,0.04344443521233637,60.35713851451874,13.632691845866793,False,24.002819700201258,27.60021340331876,49.463345259428024
XJTU__3C,CX2_3,B12,1750,0.9425618768512556,0.042991889012208205,60.35713851451874,13.632691845866793,False,23.881170520921355,27.493728544082572,49.340825372297935
XJTU__3C,CX2_3,B123,1750,0.9425618768512556,0.042991889012208205,60.35713851451874,13.632691845866793,False,23.881170520921355,27.493728544082572,49.340825372297935
XJTU__3C,CX2_3,B1234,1750,0.9425618768512556,0.042991889012208205,60.35713851451874,13.632691845866793,False,23.881170520921355,27.493728544082572,49.340825372297935
XJTU__3C,PL11,B,870,0.0,0.0,21.94696068763733,6.184452035592647,True,8.661564273395758,10.6395778871763,19.254622161388394
XJTU__3C,PL11,B1,870,0.3966060335343191,0.018800239713992316,21.94696068763733,6.184452035592647,False,8.661012641642754,10.639567800237161,19.254622161388394
XJTU__3C,PL11,B12,870,0.38008078213706,0.018016896392576216,21.94696068763733,6.184452035592647,False,8.803837885874753,10.757923137992538,19.39965136193981
