dataset,group,cells,domains,points,mae,rmse,p95_ae,bias,bias_fraction,top5_error_share
Tongji,B23__wave_pair_pca8__0.25,130,11,57733,3.451718497866412,4.22624359139173,7.052873789830998,2.6983320924937564,0.8030977640901109,0.1356045019698575
Tongji,B23__wave_pair_pca8__0.5,130,11,57733,3.3150830591817266,4.07626917033143,6.8063257848611105,2.6139295216711,0.8113967065445994,0.1368755048476139
Tongji,B23__wave_pair_pca8__0.75,130,11,57733,3.1903224811416453,3.9393733415993397,6.58688241023792,2.529526950848443,0.8157830315058917,0.13798700721374704
Tongji,B23__wave_pair_pca8__1,130,11,57733,3.0798936446122145,3.816707093271333,6.381056095281526,2.445124380025786,0.8148408614207452,0.1389243815533889
Tongji,B23__wave_pair_pls4__0.25,130,11,57733,3.518248931202689,4.309059110274078,7.212256777536144,2.729051927283447,0.7981751346742872,0.136039232098574
Tongji,B23__wave_pair_pls4__0.5,130,11,57733,3.4414421419696595,4.2342827862881505,7.114071463543559,2.675369191250481,0.7991522151148963,0.13760585077284884
Tongji,B23__wave_pair_pls4__0.75,130,11,57733,3.3674390452175262,4.163570307903014,7.022155576116895,2.6216864552175143,0.8025064314491487,0.13925858681047612
Tongji,B23__wave_pair_pls4__1,130,11,57733,3.296949960395044,4.097192895843269,6.934207991603103,2.568003719184549,0.8043419221431338,0.14093708092446686
Tongji,B3__wave_absolute_pca8__0.25,130,11,57733,6.658604004759272,8.216952831830609,15.172402784226604,3.733749271583994,0.8233694407581577,0.14027458764871162
Tongji,B3__wave_absolute_pca8__0.5,130,11,57733,6.652347473918951,8.202384236008994,15.111382308559051,3.8202190823352566,0.8300024834429972,0.1399651825061193
Tongji,B3__wave_absolute_pca8__0.75,130,11,57733,6.650484928953756,8.190524612460267,15.050613888707083,3.9066888930865176,0.8355119197668981,0.13955652107182176
Tongji,B3__wave_absolute_pca8__1,130,11,57733,6.653118125872964,8.181138821809958,14.992701847693372,3.9931587038377803,0.8398576239435404,0.1390603703838093
Tongji,B3__wave_absolute_pls4__0.25,130,11,57733,6.581721107076361,8.126189931924474,15.024871327056685,3.6385536722573617,0.8176251561612684,0.14040108514086305
