dataset,domain,group,mae,rmse,p95_ae,low_mae,low_rmse,low_p95_ae
MATR,b3,B134,1.327452271937697,1.6922682226894914,3.205192777825406,2.8180304332190973,2.8902985822738843,3.600416351258866
MATR,b3,B234,1.1236306462334869,1.366208647462926,2.448578775216352,2.1009435241418712,2.1936128989341537,2.95094582949389
MATR,b3,B1234,1.1176843530144158,1.363959294568047,2.4629486785676318,2.106362133157777,2.2011948213593757,2.9585872498188324
Tongji,Tongji1_CY25-1_1,B,5.840541807078948,7.224896370589382,13.222904404004414,10.02427175148894,10.403393950531147,13.987838758362663
Tongji,Tongji1_CY25-1_1,B1,8.954919045741367,10.227691217413023,17.124283843570282,13.92565119105481,14.202055802924024,17.889218197928535
Tongji,Tongji1_CY25-1_1,B2,5.327778428453989,6.952390065327611,13.04860321438703,9.83621828171016,10.227086575926679,13.75661101202871
Tongji,Tongji1_CY25-1_1,B12,5.327778428453989,6.952390065327611,13.04860321438703,9.83621828171016,10.227086575926679,13.75661101202871
Tongji,Tongji1_CY25-1_1,B3,5.840541807078948,7.224896370589382,13.222904404004414,10.02427175148894,10.403393950531147,13.987838758362663
Tongji,Tongji1_CY25-1_1,B13,8.954919045741367,10.227691217413023,17.124283843570282,13.92565119105481,14.202055802924024,17.889218197928535
Tongji,Tongji1_CY25-1_1,B23,5.327778428453989,6.952390065327611,13.04860321438703,9.83621828171016,10.227086575926679,13.75661101202871
Tongji,Tongji1_CY25-1_1,B123,5.327778428453989,6.952390065327611,13.04860321438703,9.83621828171016,10.227086575926679,13.75661101202871
Tongji,Tongji1_CY25-1_1,B4,5.5233368632828155,6.918186215093989,12.705237001836268,9.59897396038926,9.9985599910882,13.580689618406744
Tongji,Tongji1_CY25-1_1,B14,7.692123224014661,9.038564826332822,15.516440011718,12.467156624053935,12.759424984275677,16.252816155431233
Tongji,Tongji1_CY25-1_1,B24,5.085472338894636,6.710637216415527,12.577981992232123,9.465223404512379,9.880419916043417,13.450726639700768
Tongji,Tongji1_CY25-1_1,B124,5.085472338894636,6.710637216415527,12.577981992232123,9.465223404512379,9.880419916043417,13.450726639700768
Tongji,Tongji1_CY25-1_1,B34,5.5233368632828155,6.918186215093989,12.705237001836268,9.59897396038926,9.9985599910882,13.580689618406744
Tongji,Tongji1_CY25-1_1,B134,7.692123224014661,9.038564826332822,15.516440011718,12.467156624053935,12.759424984275677,16.252816155431233
Tongji,Tongji1_CY25-1_1,B234,5.085472338894636,6.710637216415527,12.577981992232123,9.465223404512379,9.880419916043417,13.450726639700768
Tongji,Tongji1_CY25-1_1,B1234,5.085472338894636,6.710637216415527,12.577981992232123,9.465223404512379,9.880419916043417,13.450726639700768
Tongji,Tongji1_CY35-05_1,B,5.855326962864784,6.873020495832485,12.529389464646231,7.3870040600536395,8.934904406914981,16.376693625811118
Tongji,Tongji1_CY35-05_1,B1,4.641597251998141,5.908369450924989,11.167072510029152,6.3121062529788405,8.071677763850902,14.80560769114649
Tongji,Tongji1_CY35-05_1,B2,4.635047958205614,4.953673476406863,6.931135883712217,7.498637107062182,7.613962976691525,9.195231726321317
Tongji,Tongji1_CY35-05_1,B12,4.635047958205614,4.953673476406863,6.931135883712217,7.498637107062182,7.613962976691525,9.195231726321317
Tongji,Tongji1_CY35-05_1,B3,4.776642409018748,5.6651472026371605,10.455473996516178,6.508243232777907,7.776279000283183,13.879130592875601
Tongji,Tongji1_CY35-05_1,B13,3.8451585894090736,4.887348194395496,9.375960884535967,5.6756560652796155,7.111887169674187,12.678267877566935
Tongji,Tongji1_CY35-05_1,B23,4.180496411205762,4.463748491036309,6.190024109998703,6.940572471899491,7.050434419981499,8.472850133541861
Tongji,Tongji1_CY35-05_1,B123,4.180496411205762,4.463748491036309,6.190024109998703,6.940572471899491,7.050434419981499,8.472850133541861
Tongji,Tongji1_CY35-05_1,B4,5.350057948703693,6.303947734487298,11.558919173116445,6.998727789042276,8.420235002088925,15.239295500721678
Tongji,Tongji1_CY35-05_1,B14,4.282918251629821,5.446830274965108,10.36207585953916,6.03440683686649,7.655710117863228,13.846790216123782
Tongji,Tongji1_CY35-05_1,B24,4.436865978346241,4.746821018401955,6.653022884812294,7.275174833354085,7.395224358493305,8.944535460464579
Tongji,Tongji1_CY35-05_1,B124,4.436865978346241,4.746821018401955,6.653022884812294,7.275174833354085,7.395224358493305,8.944535460464579
Tongji,Tongji1_CY35-05_1,B34,4.446921283247629,5.283476294619096,9.759616273691721,6.306383640432554,7.447726723783141,13.092710840281867
Tongji,Tongji1_CY35-05_1,B134,3.6521814385510782,4.594961695750976,8.81782158384411,5.5990306002948795,6.863761737176278,12.002333773771026
Tongji,Tongji1_CY35-05_1,B234,4.038973238306348,4.320157364723866,6.011240020266327,6.786868277586731,6.902795780565906,8.322872021900197
Tongji,Tongji1_CY35-05_1,B1234,4.038973238306348,4.320157364723866,6.011240020266327,6.786868277586731,6.902795780565906,8.322872021900197
Tongji,Tongji1_CY25-05_1,B,7.102701943587481,7.874388901905109,12.127099009663425,9.85290120028773,10.141387958076374,14.05547804248173
Tongji,Tongji1_CY25-05_1,B1,2.9920974431481024,3.474542818166087,5.931671538506063,3.0716738535754198,3.4884240685364993,5.944705339971158
Tongji,Tongji1_CY25-05_1,B2,1.4586350963231003,1.7196351653420037,2.7801297017905697,2.0690680911834374,2.190889675393906,2.9209005088226574
Tongji,Tongji1_CY25-05_1,B12,1.7920698134047786,2.106416907236152,3.406905279017756,2.667117918547612,2.7975868634212797,3.739337230636665
Tongji,Tongji1_CY25-05_1,B3,5.950847096884632,6.616687645878712,10.16036567181791,8.325612590201294,8.565843089065886,11.842944547196414
Tongji,Tongji1_CY25-05_1,B13,2.6500706819899102,3.0162998528052456,5.035305626339386,3.0101434224592243,3.2923794455762248,5.099340571015965
Tongji,Tongji1_CY25-05_1,B23,1.589202405081705,1.9081535332347441,3.1013704668735698,2.476249942629763,2.5731847822436325,3.4525791291794308
Tongji,Tongji1_CY25-05_1,B123,1.9169046389664188,2.2683436732057807,3.604593204331355,2.9281339368842385,3.0301051105007963,3.9779403459167963
Tongji,Tongji1_CY25-05_1,B4,6.3372581442630915,7.040720086666044,10.86051608102793,8.828304920655865,9.085358502253488,12.543455491457468
Tongji,Tongji1_CY25-05_1,B14,2.7228460262612337,3.1468656334182223,5.358951198637288,2.8489856041103976,3.208410544508452,5.343542581034144
Tongji,Tongji1_CY25-05_1,B24,1.4244437189541805,1.6775221596682302,2.716566916987281,2.0135626243112097,2.134422466947684,2.881834698972655
Tongji,Tongji1_CY25-05_1,B124,1.7092680550483867,2.024939861906893,3.2801717558241306,2.538945242317258,2.6671369436458296,3.5710925771437205
Tongji,Tongji1_CY25-05_1,B34,5.329419874554096,5.943544794067969,9.154382999098527,7.491927386830232,7.708117206611526,10.609488307822843
Tongji,Tongji1_CY25-05_1,B134,2.4428217855285936,2.778989381083664,4.585916015644449,2.8220544844251276,3.0713289460988253,4.655564120885547
Tongji,Tongji1_CY25-05_1,B234,1.5486412588505656,1.857397438941174,3.0209786771480096,2.3723449502216845,2.472551769634139,3.355800782017433
Tongji,Tongji1_CY25-05_1,B1234,1.818903500560553,2.169143741554501,3.4765378944781986,2.7682332489368013,2.8725904123294668,3.793165218197305
Tongji,Tongji2_CY25-05_1,B,8.039947045413564,8.780148629980383,13.685691775984845,5.923899486068073,6.45535510407294,9.206193606259863
Tongji,Tongji2_CY25-05_1,B1,2.34017678076109,2.6528557497973737,4.416629950286584,3.3227248897149835,3.4946218017880684,4.885567904479885
Tongji,Tongji2_CY25-05_1,B2,0.5150165447795012,0.6287595280701176,1.1492333249270252,0.4305482167023431,0.5149804859540245,0.91102063168038
Tongji,Tongji2_CY25-05_1,B12,0.5312676762952608,0.6417632517067627,1.1373580185124326,0.6788601307812675,0.7753611802337232,1.2423046636365254
Tongji,Tongji2_CY25-05_1,B3,6.856928710927889,7.51472739456816,11.802440054268496,5.146487166848689,5.614751298035889,8.018043592183226
Tongji,Tongji2_CY25-05_1,B13,2.229814560634239,2.4922697963410987,4.046476576085966,2.948660095543114,3.0986883140854347,4.325969937562656
Tongji,Tongji2_CY25-05_1,B23,0.5218193231116285,0.6211095943221466,1.0940110536333598,0.4187077122594466,0.49631226382674987,0.8719872933996335
Tongji,Tongji2_CY25-05_1,B123,0.5524994436303753,0.6492528869868361,1.1037153968260895,0.6657822306951565,0.7486926356800051,1.1751231575437635
Tongji,Tongji2_CY25-05_1,B4,6.898870556240678,7.5531277554143355,11.836291470635135,5.153563296053727,5.61903577914822,8.004239026852705
Tongji,Tongji2_CY25-05_1,B14,2.183218625108759,2.4458099839370284,3.9857375985081833,2.9392728786449074,3.0868258897839995,4.288323866671478
Tongji,Tongji2_CY25-05_1,B24,0.5033666445492984,0.6049190616946831,1.0834493961962823,0.41122043596372304,0.48888095147847094,0.869919790122778
Tongji,Tongji2_CY25-05_1,B124,0.5271674883339534,0.6266290307511849,1.0896713766127013,0.6410407710648083,0.7231268730022281,1.1457689400414086
Tongji,Tongji2_CY25-05_1,B34,5.864918112392057,6.447332017811272,10.190468297325191,4.473779796932906,4.884067814529722,6.969595748994375
Tongji,Tongji2_CY25-05_1,B134,2.0876377598479414,2.308810371173844,3.677987384932874,2.612022750917581,2.74111180136257,3.7984473417576874
Tongji,Tongji2_CY25-05_1,B234,0.5434610033574646,0.633867113060068,1.0821443963465476,0.40863290793459006,0.4824624042322124,0.8431032891810615
Tongji,Tongji2_CY25-05_1,B1234,0.5795126573422698,0.6649972458518674,1.0953846575246888,0.634159651657198,0.7060899592175236,1.0901472132501806
